# train_loss,val_loss
1.724435575306415558e-02,2.123389858752489090e-03
1.994662219658493996e-03,6.048893090337514877e-03
1.753021264448761940e-03,1.546593150123953819e-03
1.455943798646330833e-03,1.288402592763304710e-03
1.366073964163661003e-03,1.207004650495946407e-03
1.294095185585319996e-03,1.090215169824659824e-03
1.235262141562998295e-03,1.277599483728408813e-03
1.207156456075608730e-03,1.031281426548957825e-03
1.191170769743621349e-03,1.001285971142351627e-03
1.129316166043281555e-03,9.855795651674270630e-04
1.113990554586052895e-03,9.971862891688942909e-04
1.087301410734653473e-03,9.779557585716247559e-04
1.062242430634796619e-03,9.681402007117867470e-04
1.048800069838762283e-03,9.614159353077411652e-04
1.025480567477643490e-03,9.678604546934366226e-04
1.027204212732613087e-03,9.348574094474315643e-04
1.008081482723355293e-03,1.021519070491194725e-03
1.012200140394270420e-03,9.242316591553390026e-04
9.981219191104173660e-04,9.992303093895316124e-04
9.861395228654146194e-04,9.367687162011861801e-04
9.770020842552185059e-04,9.684552787803113461e-04
9.706481941975653172e-04,9.967744117602705956e-04
9.650757419876754284e-04,9.848292684182524681e-04
9.565349319018423557e-04,8.777578477747738361e-04
9.451041114516556263e-04,8.951412746682763100e-04
9.419873240403831005e-04,8.816672489047050476e-04
9.416920947842299938e-04,8.940349216572940350e-04
9.349774918518960476e-04,8.693909621797502041e-04
9.254713659174740314e-04,8.845425327308475971e-04
9.281138190999627113e-04,8.688252419233322144e-04
9.223043452948331833e-04,8.793898159638047218e-04
9.188892436213791370e-04,8.636672282591462135e-04
9.163062204606831074e-04,8.626144262962043285e-04
9.163886425085365772e-04,8.563768351450562477e-04
9.126411168836057186e-04,8.557661203667521477e-04
9.090306120924651623e-04,8.623446337878704071e-04
9.085959754884243011e-04,8.537915418855845928e-04
9.071969543583691120e-04,8.642422617413103580e-04
9.059220901690423489e-04,8.559482521377503872e-04
9.048554347828030586e-04,8.549107587896287441e-04
9.027856285683810711e-04,8.533969521522521973e-04
